sale_id,employee_id,region,product_id,revenue,discount,sale_date
S001,E001,West,P001,1200,0.10,2026-01-15
S002,E002,East,P002,850,0.00,2026-01-20
S003,E003,West,P003,400,0.05,2026-02-03
S004,E001,North,P002,700,0.00,2026-02-14
S005,E004,West,P004,1600,0.15,2026-02-19
S006,E002,South,P001,900,0.10,2026-03-05
S007,E005,East,P005,300,0.00,2026-03-08
S008,E003,West,P002,1100,0.05,2026-03-16
S009,E001,South,P003,500,0.00,2026-04-01
S010,E004,North,P005,750,0.20,2026-04-12
S011,E002,West,P001,950,0.10,2026-04-15
S012,E005,East,P004,1250,0.05,2026-04-22

